source,headline,pubdate,headline_length,Date,Open,High,Low,Close,Volume,is_trading_day,sentiment,sentiment_confidence
NVIDIA,Out Now: NVIDIA RTX Remix Update Introduces New Logic System For Dynamic Graphics - NVIDIA,2026-01-28,90,,,,,,,False,neutral,0.689083993434906
NVIDIA Developer,NVIDIA DLSS 4.5 Delivers Super Resolution Upgrades and New Dynamic Multi Frame Generation - NVIDIA Developer,2026-01-14,108,2026-01-14,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100.0,True,positive,0.9187793731689453
qz.com,Nvidia and Mercedes made an AV. I went along for the ride - qz.com,2026-01-06,66,2026-01-06,190.5200042724609,192.1699981689453,186.82000732421875,187.2400054931641,176862600.0,True,neutral,0.908416211605072
NVIDIA Blog,"NVIDIA Unveils New Open Models, Data and Tools to Advance AI Across Every Industry - NVIDIA Blog",2026-01-05,96,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.5580968856811523
NVIDIA,GeForce Game Ready Driver For The ARC Raiders: Headwinds Update - NVIDIA,2026-01-27,72,2026-01-27,187.2400054931641,190.0,185.6999969482422,188.5200042724609,143233500.0,True,neutral,0.9176658987998962
NVIDIA Blog,‘Largest Infrastructure Buildout in Human History’: Jensen Huang on AI’s ‘Five-Layer Cake’ at Davos - NVIDIA Blog,2026-01-21,113,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,neutral,0.86241614818573
Commonwealth Fusion Systems,"Commonwealth Fusion Systems Accelerates Commercial Fusion With Siemens and NVIDIA, Leveraging AI-Powered Digital Twins - Commonwealth Fusion Systems",2026-01-06,148,2026-01-06,190.5200042724609,192.1699981689453,186.82000732421875,187.2400054931641,176862600.0,True,neutral,0.5313587188720703
Microsoft Azure,"Microsoft’s strategic AI datacenter planning enables seamless, large-scale NVIDIA Rubin deployments - Microsoft Azure",2026-01-05,117,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.5525485277175903
NVIDIA Blog,How to Get Started With Visual Generative AI on NVIDIA RTX PCs - NVIDIA Blog,2026-01-22,76,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.9252899885177612
Eli Lilly,NVIDIA and Lilly Announce Co-Innovation AI Lab to Reinvent Drug Discovery In the Age of AI - Eli Lilly,2026-01-12,102,2026-01-12,183.22000122070312,187.1199951171875,183.0200042724609,184.94000244140625,137968500.0,True,positive,0.7351335883140564
[H]ard|Forum,"Nvidia, AMD, will significantly increase GPU value from next month - [H]ard|Forum",2025-12-31,81,2025-12-31,189.57000732421875,190.5599975585937,186.4900054931641,186.5,120100500.0,True,positive,0.9395067691802979
NVIDIA,"GeForce @ CES 2026: NVIDIA DLSS 4.5 Announced, 250+ DLSS Multi Frame Generation Games & Apps Available Now, G-SYNC Pulsar Gaming Monitors Available This Week, And Much More - NVIDIA",2026-01-05,181,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.894773006439209
NVIDIA,NVIDIA DLSS 4.5 Super Resolution Available Now - Download NVIDIA App To Enhance Your Games & Apps - NVIDIA,2026-01-14,106,2026-01-14,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100.0,True,neutral,0.9108529686927795
NVIDIA,"CES 2026: New GeForce RTX Partner Cards, Laptops, Desktops & G-SYNC Displays Unveiled - NVIDIA",2026-01-06,94,2026-01-06,190.5200042724609,192.1699981689453,186.82000732421875,187.2400054931641,176862600.0,True,neutral,0.6928604245185852
NVIDIA Developer,New Software and Model Optimizations Supercharge NVIDIA DGX Spark | NVIDIA Technical Blog - NVIDIA Developer,2026-01-05,108,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.9247924089431763
NVIDIA Developer,How to Write High-Performance Matrix Multiply in NVIDIA CUDA Tile | NVIDIA Technical Blog - NVIDIA Developer,2026-01-14,108,2026-01-14,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100.0,True,neutral,0.938041627407074
NVIDIA Blog,NVIDIA DGX Spark and DGX Station Power the Latest Open-Source and Frontier Models From the Desktop - NVIDIA Blog,2026-01-05,112,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8790884017944336
NVIDIA Blog,NVIDIA Unveils Multi-Agent Intelligent Warehouse and Catalog Enrichment AI Blueprints to Power the Retail Pipeline - NVIDIA Blog,2026-01-09,128,2026-01-09,185.0800018310547,186.33999633789065,183.6699981689453,184.8600006103516,131327500.0,True,neutral,0.7446233630180359
CRN Magazine,"Nvidia Touts New Storage Platform, Confidential Computing For Vera Rubin NVL72 Server Rack - CRN Magazine",2026-01-05,105,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8297011256217957
weforum.org,Davos 2026: Nvidia CEO Jensen Huang on the future of AI - weforum.org,2026-01-23,69,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142748100.0,True,neutral,0.9276252388954163
Lenovo StoryHub,Lenovo Teams with NVIDIA on Gigawatt AI Factories Program to Accelerate Enterprise AI - Lenovo StoryHub,2026-01-06,103,2026-01-06,190.5200042724609,192.1699981689453,186.82000732421875,187.2400054931641,176862600.0,True,positive,0.8804442882537842
NVIDIA Developer,Build and Orchestrate End-to-End SDG Workflows with NVIDIA Isaac Sim and NVIDIA OSMO - NVIDIA Developer,2026-01-07,103,2026-01-07,188.57000732421875,191.3699951171875,186.5599975585937,189.1100006103516,153543200.0,True,neutral,0.7879270911216736
NVIDIA Blog,AI’s Next Revolution: Multiply Labs Is Scaling Robotics-Driven Cell Therapy Biomanufacturing Labs - NVIDIA Blog,2026-01-12,111,2026-01-12,183.22000122070312,187.1199951171875,183.0200042724609,184.94000244140625,137968500.0,True,neutral,0.7926285862922668
NVIDIA,"NVIDIA G-SYNC Monitors with Pulsar & Ambient Adaptive Tech Available January 7: Enjoy Smoother, Clearer Gaming With Over 1,000 Hz Effective Motion Clarity - NVIDIA",2026-01-05,163,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.6845277547836304
NVIDIA Developer,Open Source AI Tool Upgrades Speed Up LLM and Diffusion Models on NVIDIA RTX PCs | NVIDIA Technical Blog - NVIDIA Developer,2026-01-05,123,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.6702612042427063
NVIDIA Blog,NVIDIA BlueField-Powered Cybersecurity and Acceleration Arrive on NVIDIA Enterprise AI Factory Validated Design - NVIDIA Blog,2026-01-05,125,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.7768992185592651
Amazon Web Services,Announcing Amazon EC2 G7e instances accelerated by NVIDIA RTX PRO 6000 Blackwell Server Edition GPUs - Amazon Web Services,2026-01-20,122,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.898232638835907
NVIDIA Developer,How to Train an AI Agent for Command-Line Tasks with Synthetic Data and Reinforcement Learning - NVIDIA Developer,2026-01-15,113,2026-01-15,186.5,189.6999969482422,186.3300018310547,187.0500030517578,206188600.0,True,neutral,0.8770780563354492
NVIDIA Developer,Building Autonomous Vehicles That Reason with NVIDIA Alpamayo | NVIDIA Technical Blog - NVIDIA Developer,2026-01-05,104,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.9114673733711243
NVIDIA Blog,Flight Controls Are Cleared for Takeoff on GeForce NOW - NVIDIA Blog,2026-01-22,68,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.9394421577453613
NVIDIA,"DLSS 4 Is Available In Over 250 Games, And Coming To 007 First Light, Phantom Blade Zero, PRAGMATA™ with Path Tracing & Many More - NVIDIA",2026-01-05,138,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.9077693223953247
CNBC,How $160 million worth of export-controlled Nvidia chips were allegedly smuggled into China - CNBC,2025-12-31,98,2025-12-31,189.57000732421875,190.5599975585937,186.4900054931641,186.5,120100500.0,True,neutral,0.8979063034057617
IEEE Spectrum,Nvidia’s New Rubin Architecture Thrives on Networking - IEEE Spectrum,2026-01-10,69,,,,,,,False,neutral,0.7140229344367981
NVIDIA Developer,Simplify Generalist Robot Policy Evaluation in Simulation with NVIDIA Isaac Lab-Arena - NVIDIA Developer,2026-01-05,104,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8915561437606812
NVIDIA,Quick Start Guide For LTX-2 In ComfyUI - NVIDIA,2026-01-05,47,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.9262719750404358
Reuters,"Exclusive: Nvidia requires full upfront payment for H200 chips in China, sources say - Reuters",2026-01-08,94,2026-01-08,189.1100006103516,189.5500030517578,183.7100067138672,185.0399932861328,172457000.0,True,neutral,0.8627539873123169
Yahoo Finance,'Real nightmare scenario': How Nvidia's China struggles could hurt its competitive edge - Yahoo Finance,2026-01-18,103,,,,,,,False,negative,0.9448282718658447
Yahoo Finance,What Bubble? Nvidia CEO Says AI Needs Trillions More in Investments - Yahoo Finance,2026-01-21,83,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,neutral,0.9152879118919373
NVIDIA Developer,Accelerate AI Inference for Edge and Robotics with NVIDIA Jetson T4000 and NVIDIA JetPack 7.1 - NVIDIA Developer,2026-01-05,112,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.5357934832572937
CNBC,Nvidia’s Huang to visit China as AI chip sales stall - CNBC,2026-01-23,59,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142748100.0,True,neutral,0.8887287974357605
Forbes,Why Nvidia Stock Can Drop 30%? - Forbes,2026-01-21,39,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,negative,0.923675537109375
CNBC,Trump and Nvidia have ruffled the feathers of Washington’s China hawks - CNBC,2026-01-22,77,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.857923686504364
Reuters,"Nvidia unveils AI models for faster, cheaper weather forecasts - Reuters",2026-01-26,72,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,neutral,0.894439697265625
Yahoo Finance,NVIDIA (NVDA) Invests $150 million in Baseten - Yahoo Finance,2026-01-23,61,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142748100.0,True,neutral,0.8690253496170044
Reuters,Nvidia invests $2 billion in CoreWeave to boost data center build-out - Reuters,2026-01-26,79,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,positive,0.9046745300292969
CNBC,"These are the European startups Nvidia backed in 2025, as it ramped up investing in the continent's AI companies - CNBC",2026-01-26,119,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,neutral,0.8709473609924316
NVIDIA Developer,Reimagining LLM Memory: Using Context as Training Data Unlocks Models That Learn at Test-Time - NVIDIA Developer,2026-01-09,112,2026-01-09,185.0800018310547,186.33999633789065,183.6699981689453,184.8600006103516,131327500.0,True,neutral,0.7372313141822815
CNBC,CoreWeave stock jumps 6% as Nvidia invests $2 billion to expand AI data center capacity - CNBC,2026-01-26,94,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,positive,0.7823692560195923
Yahoo Finance,Nvidia stock falls as China reportedly restricts imports of H200 chips - Yahoo Finance,2026-01-14,86,2026-01-14,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100.0,True,negative,0.963281512260437
Axios,Nvidia deal shows why inference is AI's next battleground - Axios,2025-12-29,65,2025-12-29,187.7100067138672,188.759994506836,185.91000366210932,188.22000122070312,120006100.0,True,neutral,0.8251625299453735
Archer Aviation,Archer To Build Next Wave of Aviation AI Technology With NVIDIA IGX Thor - Archer Aviation,2026-01-08,90,2026-01-08,189.1100006103516,189.5500030517578,183.7100067138672,185.0399932861328,172457000.0,True,neutral,0.7951084971427917
Reuters,Nvidia takes $5 billion stake in Intel under September agreement - Reuters,2025-12-29,74,2025-12-29,187.7100067138672,188.759994506836,185.91000366210932,188.22000122070312,120006100.0,True,neutral,0.9376309514045715
NVIDIA Blog,Survive the Quarantine Zone and More With Devolver Digital Games on GeForce NOW - NVIDIA Blog,2026-01-15,93,2026-01-15,186.5,189.6999969482422,186.3300018310547,187.0500030517578,206188600.0,True,neutral,0.839877724647522
Yahoo Finance,China Opens Door to Nvidia H200 Chips But Questions Outnumber Answers - Yahoo Finance,2026-01-25,85,,,,,,,False,neutral,0.8006041049957275
Yahoo Finance,BofA says the chip reshuffle makes Nvidia a 'compelling' value play - Yahoo Finance,2026-01-26,83,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,positive,0.9033946990966797
Reuters,Nvidia CEO Jensen Huang in Shanghai amid China regulatory headwinds - Reuters,2026-01-24,77,,,,,,,False,negative,0.5601550340652466
Barron's,Nvidia Stock Only Seems to Be Losing Its AI Halo. This Analyst Says It’s Time to Buy. - Barron's,2026-01-16,96,2026-01-16,189.0800018310547,190.44000244140625,186.0800018310547,186.22999572753903,187967200.0,True,neutral,0.6073758602142334
Reuters,"Nvidia in advanced talks to buy Israel's AI21 Labs for up to $3 billion, report says - Reuters",2025-12-30,94,2025-12-30,188.2400054931641,188.9900054931641,186.92999267578125,187.5399932861328,97687300.0,True,neutral,0.6052596569061279
Axios,Nvidia CEO Jensen Huang: Get ready for drug research disruption - Axios,2026-01-21,71,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,neutral,0.8990287780761719
Axios,"Trump imposes 25% tariff on some semiconductors, including Nvidia chips - Axios",2026-01-14,79,2026-01-14,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100.0,True,neutral,0.7825769782066345
Reuters,"Exclusive: China gives green light to importing first batch of Nvidia's H200 AI chips, sources say - Reuters",2026-01-28,108,,,,,,,False,positive,0.9034919142723083
The Wall Street Journal,Nvidia Is Getting Creative as Options to Use Its Cash Flood Narrow - WSJ - The Wall Street Journal,2025-12-31,98,2025-12-31,189.57000732421875,190.5599975585937,186.4900054931641,186.5,120100500.0,True,neutral,0.6647912263870239
Bloomberg,"Nvidia Invests $2 Billion More in CoreWeave, Offers New Chip - Bloomberg",2026-01-26,72,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,positive,0.764337420463562
Yahoo Finance,"Michael Burry Bets Against Nvidia, Says'I Do Not See How That Math Works' Amid AI Chip Boom Fears - Yahoo Finance",2026-01-15,113,2026-01-15,186.5,189.6999969482422,186.3300018310547,187.0500030517578,206188600.0,True,neutral,0.5034522414207458
NVIDIA Developer,Accelerating LLM and VLM Inference for Automotive and Robotics with NVIDIA TensorRT Edge-LLM - NVIDIA Developer,2026-01-08,111,2026-01-08,189.1100006103516,189.5500030517578,183.7100067138672,185.0399932861328,172457000.0,True,neutral,0.5039966106414795
The Wall Street Journal,Nvidia CEO Says AI Needs More Investment in Defiance of Bubble Fears - WSJ - The Wall Street Journal,2026-01-21,100,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,neutral,0.7386181950569153
NVIDIA,"DLSS Is Accelerating Performance In Half Sword, Highguard, Code Vein II & The ARC Raiders: Headwinds Update This Week - NVIDIA",2026-01-27,126,2026-01-27,187.2400054931641,190.0,185.6999969482422,188.5200042724609,143233500.0,True,positive,0.8973894119262695
NVIDIA Blog,"More Ways to Play, More Games to Love — GeForce NOW Wraps CES With Linux Support, Fire TV App, Flight Stick Controls - NVIDIA Blog",2026-01-08,130,2026-01-08,189.1100006103516,189.5500030517578,183.7100067138672,185.0399932861328,172457000.0,True,neutral,0.8249200582504272
CNBC,Nvidia director Persis Drell resigns with $26 million worth of stock after decade on board - CNBC,2026-01-23,97,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142748100.0,True,negative,0.7408652305603027
CNBC,"Nvidia wants to power robotaxi fleets with chips, software by 2027 - CNBC",2026-01-05,73,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.853575587272644
The Motley Fool,Nvidia's 85% GPU Market Share Faces Growing Competition: Is This AI Stock Still a Buy for 2026? - The Motley Fool,2026-01-25,113,,,,,,,False,neutral,0.8199439644813538
Reuters,"Exclusive: Nvidia sounds out TSMC on new H200 chip order as China demand jumps, sources say - Reuters",2025-12-31,101,2025-12-31,189.57000732421875,190.5599975585937,186.4900054931641,186.5,120100500.0,True,positive,0.8487526774406433
Reuters,"Trump's greenlight for Nvidia AI chips to China draws fire from lawmakers, former officials - Reuters",2026-01-15,101,2026-01-15,186.5,189.6999969482422,186.3300018310547,187.0500030517578,206188600.0,True,neutral,0.5441458225250244
CNBC,Nvidia's Huang says AI boom will create 'six-figure salaries' for those building chip factories - CNBC,2026-01-22,102,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.8821606040000916
CNBC,Trump administration clears way for Nvidia H200 chip sales to China with a 25% surcharge - CNBC,2026-01-14,95,2026-01-14,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100.0,True,positive,0.5971558690071106
The Motley Fool,"Prediction: Nvidia Will Overtake Alphabet, Apple, and Microsoft to Become the World's Most Profitable Company by the End of 2027. Here's Why the ""Magnificent Seven"" Stock Is a Buy in January. - The Motley Fool",2026-01-20,209,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.8587040901184082
Wccftech,"NVIDIA Has Rumoredly Cut Down GPU Supply To AICs By 15-20%; Also, No New GPUs This Year - Wccftech",2026-01-15,98,2026-01-15,186.5,189.6999969482422,186.3300018310547,187.0500030517578,206188600.0,True,negative,0.9492130875587463
NVIDIA Blog,"Now Generally Available, NVIDIA RTX PRO 5000 72GB Blackwell GPU Expands Memory Options for Desktop Agentic AI - NVIDIA Blog",2025-12-18,123,2025-12-18,174.52999877929688,176.14999389648438,171.82000732421875,174.13999938964844,176096000.0,True,positive,0.6477318406105042
Synopsys,NVIDIA and Synopsys Announce Strategic Partnership to Revolutionize Engineering and Design - Synopsys,2025-12-01,101,2025-12-01,174.75027181562072,180.28997214473748,173.67033006996684,179.9099884033203,188131000.0,True,positive,0.8119811415672302
Tech Policy Press,Nvidia is Building a Shield of Concentrated Power - Tech Policy Press,2025-12-18,69,2025-12-18,174.52999877929688,176.14999389648438,171.82000732421875,174.13999938964844,176096000.0,True,neutral,0.7643721103668213
Council on Foreign Relations,The Consequences of Exporting Nvidia’s H200 Chips to China - Council on Foreign Relations,2025-12-09,89,2025-12-09,185.5599975585937,185.72000122070312,183.32000732421875,184.97000122070312,144719700.0,True,neutral,0.8949937224388123
NVIDIA,Battlefield 6: Winter Offensive GeForce Game Ready Driver Released - NVIDIA,2025-12-04,75,2025-12-04,181.6199951171875,184.5200042724609,179.9600067138672,183.3800048828125,167364900.0,True,neutral,0.8874948024749756
NVIDIA Newsroom,NVIDIA Debuts Nemotron 3 Family of Open Models - NVIDIA Newsroom,2025-12-15,64,2025-12-15,177.94000244140625,178.4199981689453,175.02999877929688,176.2899932861328,164775600.0,True,neutral,0.9236546754837036
NVIDIA Blog,"NVIDIA, US Government to Boost AI Infrastructure and R&D Investments Through Landmark Genesis Mission - NVIDIA Blog",2025-12-18,115,2025-12-18,174.52999877929688,176.14999389648438,171.82000732421875,174.13999938964844,176096000.0,True,positive,0.8724365234375
NVIDIA Blog,NVIDIA Acquires Open-Source Workload Management Provider SchedMD - NVIDIA Blog,2025-12-15,78,2025-12-15,177.94000244140625,178.4199981689453,175.02999877929688,176.2899932861328,164775600.0,True,neutral,0.8365560173988342
NVIDIA Blog,3 Ways NVIDIA Is Powering the Industrial Revolution - NVIDIA Blog,2025-12-10,65,2025-12-10,184.97000122070312,185.47999572753903,182.0399932861328,183.77999877929688,162785400.0,True,neutral,0.8885708451271057
NVIDIA Blog,NVIDIA and AWS Expand Full-Stack Partnership - NVIDIA Blog,2025-12-02,58,2025-12-02,181.74987648908228,185.6496685428864,179.98997995570696,181.4499053955078,182632200.0,True,positive,0.9076195359230042
NVIDIA Blog,Opt-In NVIDIA Software Enables Data Center Fleet Management - NVIDIA Blog,2025-12-10,73,2025-12-10,184.97000122070312,185.47999572753903,182.0399932861328,183.77999877929688,162785400.0,True,neutral,0.8602679371833801
NVIDIA Blog,"At NeurIPS, NVIDIA Advances Open Model Development for Digital and Physical AI - NVIDIA Blog",2025-12-01,92,2025-12-01,174.75027181562072,180.28997214473748,173.67033006996684,179.9099884033203,188131000.0,True,neutral,0.6052578091621399
NVIDIA,New GeForce Game Ready Driver Released - NVIDIA,2025-12-18,47,2025-12-18,174.52999877929688,176.14999389648438,171.82000732421875,174.13999938964844,176096000.0,True,positive,0.5199807286262512
